time,username,message
86,fnlbobby,77
86,katchdeezzhandzz,lateee
86,SYNDEMONBEAST,w
86,trippykaos,asssssss
86,ltzjag44,L ADS
86,sikowitztoe,L spoit
86,k1z0xix,W
86,jxshua_plyz,CAP
86,swift_Gaming44,77777777
86,Nightbot,no 🧢
87,giuseppe8175,Gooddd
87,yomomirl,777777
87,SmgLoneWolf,7777
87,StreamElements,Looking for your DREAM PC?? Head to www.xidax.com/jynxzi to configure your dream PC Today!
88,zhwarkawani,yooo
88,RepleteSphinx21,7
88,yomomirl,777
88,zdeeytox,hi fatty
88,lilwest12,YOOOOOO
88,BrakkLord,show your tits
88,pickpocketingpanda,7
88,asxtov,7777
88,XBLKPANTHERX06,yooo
88,mynatory_,worse now that your live
88,SmgLoneWolf,77777777
88,ibroprufen,77777
88,dominicdagreattt,good
88,ChickenTendys77,swansea
88,einfachAtomix,einfachAtomix subscribed at Tier 1. They've subscribed for 3 months! 
89,xarzyt12,777777777777777777777
89,doncczzzz10,7
89,ttv_hypes123,777777
89,joelxd6144,7
89,bigpapi801,give me those 10k I’m broke
89,sofree2010,wazup
89,imaynallday,7
89,lil_tony0417,Zola scored
89,Otuka2,late
89,Fossabot,@btwfresh831 Title for Jynxzi: [106/365] 💵 Spending $10K on R6 Skins 💵 REAL vs ARSENAL REACTION -> TOXIC 1v1s -> JYNXZI vs RICCI FIFA -> RANKED 💰
89,paxtinoo,w
89,Nightbot,balls
89,buckeyebrady_,viper cheating
89,Nightbot,@btwfresh831 -> Nightbot was unable to authenticate with Twitch's API. The channel owner may need to fully log out and back in at https://nightbot.tv to fix this.
89,seanirvine2323,hi babe
90,ai_coal,7777777
90,aaronloudboy,7777777777777777
90,bug_bunny69,big dink
92,croflixr6,776777
92,brycem222,I like tits
92,fishlover787,777
92,mikeyfv1,777777
92,jejcjsbdjsbciwj,wsg
92,cheesecakenov420,7
92,frankiethegoat11,hi
92,doncczzzz10,777
92,xyaddons,hi jynxzi
92,hndvs2010,REAL MADRID VS ARSENAL
92,maccart22,77777777777777
92,munchytoes2,jynxzi suck me rn
92,ai_coal,777
92,ChickenTendys77,swansea highlights
92,Smirkkx,WATCHING REAL MADRIDS DOWNFALL!!!!!! @jynxzi
93,vavsbsjshsbskdh,YEESS
93,nateefrr,heyyyyyyy kinggggg
93,0D4CHI_BL4DE,THRONE OF LIES
93,ibroprufen,Jebasted Jebasted Jebasted Jebasted
93,marzamilli,marzamilli subscribed at Tier 1. They've subscribed for 9 months! love the time
93,baconisbakin,watching from rome rn
93,brendanxx7,L L-ATE
93,jaygad9,cap
93,lol22221111_,lol22221111_ subscribed at Tier 1. They've subscribed for 5 months! can you watch the Manchester United highlights tomorrow and call GINGE
93,Thy_Prodigy_,Thy_Prodigy_ subscribed at Tier 1. They've subscribed for 21 months! 
94,myasmatic,myasmatic subscribed at Tier 1. 
94,baphtub_,"baphtub_ subscribed at Tier 1. They've subscribed for 22 months, currently on a 22 month streak! love you man"
95,pizzar6s,7
95,ropezzx,YOYOYYOO
95,katchdeezzhandzz,lateeeeeee
95,sweziiiiii,YOUR LATE AGIAN
95,teejaysleep,late
95,will_a72,BELLINGHAMMMMM
95,kaskskssss,hi
95,ChickenTendys77,react swansea
95,adrixity,Hi daddy
95,Facelesss__,late fatty
95,Otuka2,Late fatass
95,ilenvyf1li,goon on me
95,PrettyCoolTurtle,jynki you’re so cool and rich and cool
95,loveless37,I hit silver 5
95,SYNDEMONBEAST,riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP riccifSLAP
96,volunteer_slam,good jynxzi how you been dude
96,9xjd_,7 junko fat
96,ttgjustbetter,7
97,bsblforlife3678,bsblforlife3678 subscribed with Prime. They've subscribed for 14 months! shut up your late
98,ChickenTendys77,swanseaaaaa
98,hndvs2010,SAKA MISSED A PENALTY
98,N0tYourHypebeast,REAL MADRID SUCK MAN DAMN
98,ttv_hypes123,7#
98,hiddenagendas664,L adds
98,tenbandant,777
